timestamp,lat,lon,alt,heading,qx,qy,qz,qw,roll,pitch,yaw,roll_rate,pitch_rate,yaw_rate,x,y,z,vx,vy,vz,ax,ay,az,gx,gy,gz,mx,my,mz,servo1_raw,servo2_raw,servo3_raw,servo4_raw,servo5_raw,servo6_raw,servo7_raw,servo8_raw
1763969188.4461274,0.0,0.0,31.94,154.9,-0.06371942162513733,0.21543832123279572,0.9743611216545105,-0.012105382978916168,-3.090183973312378,-0.11925408244132996,2.703606605529785,0.0004470548592507839,0.0002959026023745537,-0.00138943106867373,0.0,0.0,0.0,0.0,0.0,0.0,-0.57859235,0.63743225,10.267562550000001,0.08726646259971647,0.06981317007977318,-0.06981317007977318,-718.0,319.0,-404.0,1600,1600,1599,1599,0,0,0,0
1763969188.4795222,0.0,0.0,31.94,154.9,-0.06371942162513733,0.21543832123279572,0.9743611216545105,-0.012105382978916168,-3.0901947021484375,-0.11924844980239868,2.703629970550537,-7.980503141880035e-05,-0.0002722288481891155,-0.001193780219182372,0.0,0.0,0.0,0.0,0.0,0.0,-0.57859235,0.63743225,10.267562550000001,0.08726646259971647,0.06981317007977318,-0.06981317007977318,-718.0,319.0,-404.0,1600,1600,1599,1599,0,0,0,0
1763969188.5129187,0.0,0.0,31.94,154.9,-0.0637153834104538,0.21542739868164062,0.9743638634681702,-0.012101500295102596,-3.0901947021484375,-0.11924844980239868,2.703629970550537,-7.980503141880035e-05,-0.0002722288481891155,-0.001193780219182372,0.0,0.0,0.0,0.0,0.0,0.0,-0.57859235,0.63743225,10.267562550000001,0.08726646259971647,0.06981317007977318,-0.06981317007977318,-718.0,319.0,-404.0,1600,1600,1599,1599,0,0,0,0
1763969188.546312,0.0,0.0,32.06,154.9,-0.0637153834104538,0.21542739868164062,0.9743638634681702,-0.012101500295102596,-3.0901947021484375,-0.11924844980239868,2.703629970550537,-7.980503141880035e-05,-0.0002722288481891155,-0.001193780219182372,0.0,0.0,0.0,0.0,0.0,0.0,-0.57859235,0.63743225,10.267562550000001,0.08726646259971647,0.06981317007977318,-0.06981317007977318,-718.0,319.0,-404.0,1600,1600,1599,1599,0,0,0,0
1763969188.5797036,0.0,0.0,32.06,154.9,-0.0637153834104538,0.21542739868164062,0.9743638634681702,-0.012101500295102596,-3.0901947021484375,-0.11924844980239868,2.703629970550537,-7.980503141880035e-05,-0.0002722288481891155,-0.001193780219182372,0.0,0.0,0.0,0.0,0.0,0.0,-0.57859235,0.63743225,10.267562550000001,0.08726646259971647,0.06981317007977318,-0.06981317007977318,-718.0,319.0,-404.0,1600,1600,1599,1599,0,0,0,0
1763969188.6130996,0.0,0.0,32.06,154.9,-0.0637153834104538,0.21542739868164062,0.9743638634681702,-0.012101500295102596,-3.0901947021484375,-0.11924844980239868,2.703629970550537,-7.980503141880035e-05,-0.0002722288481891155,-0.001193780219182372,0.0,0.0,0.0,0.0,0.0,0.0,-0.5687857000000001,0.6080123,10.24794925,0.06981317007977318,0.10471975511965978,-0.05235987755982989,-720.0,320.0,-400.0,1600,1600,1599,1599,0,0,0,0
1763969188.6465027,0.0,0.0,32.06,154.9,-0.0637153834104538,0.21542739868164062,0.9743638634681702,-0.012101500295102596,-3.090175151824951,-0.11928188055753708,2.703646421432495,7.399357855319977e-05,0.0007542958483099937,5.161389708518982e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.5687857000000001,0.6080123,10.24794925,0.06981317007977318,0.10471975511965978,-0.05235987755982989,-720.0,320.0,-400.0,1600,1600,1599,1599,0,0,0,0
1763969188.679891,0.0,0.0,32.06,154.9,-0.06373365968465805,0.21541811525821686,0.9743645787239075,-0.01210789754986763,-3.090175151824951,-0.11928188055753708,2.703646421432495,7.399357855319977e-05,0.0007542958483099937,5.161389708518982e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.5687857000000001,0.6080123,10.24794925,0.06981317007977318,0.10471975511965978,-0.05235987755982989,-720.0,320.0,-400.0,1600,1600,1599,1599,0,0,0,0
1763969188.7132988,0.0,0.0,32.06,154.9,-0.06373365968465805,0.21541811525821686,0.9743645787239075,-0.01210789754986763,-3.090175151824951,-0.11928188055753708,2.703646421432495,7.399357855319977e-05,0.0007542958483099937,5.161389708518982e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.5687857000000001,0.6080123,10.24794925,0.06981317007977318,0.10471975511965978,-0.05235987755982989,-720.0,320.0,-400.0,1600,1600,1599,1599,0,0,0,0
1763969188.7467082,0.0,0.0,32.06,154.9,-0.06373365968465805,0.21541811525821686,0.9743645787239075,-0.01210789754986763,-3.090175151824951,-0.11928188055753708,2.703646421432495,7.399357855319977e-05,0.0007542958483099937,5.161389708518982e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.5687857000000001,0.6080123,10.24794925,0.06981317007977318,0.10471975511965978,-0.05235987755982989,-720.0,320.0,-400.0,1600,1600,1599,1599,0,0,0,0
1763969188.7801225,0.0,0.0,32.06,154.9,-0.06373365968465805,0.21541811525821686,0.9743645787239075,-0.01210789754986763,-3.090175151824951,-0.11928188055753708,2.703646421432495,7.399357855319977e-05,0.0007542958483099937,5.161389708518982e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.5687857000000001,0.6080123,10.24794925,0.06981317007977318,0.10471975511965978,-0.05235987755982989,-720.0,320.0,-400.0,1600,1600,1599,1599,0,0,0,0
1763969188.8135393,0.0,0.0,32.06,154.9,-0.06373365968465805,0.21541811525821686,0.9743645787239075,-0.01210789754986763,-3.090175151824951,-0.11928188055753708,2.703646421432495,7.399357855319977e-05,0.0007542958483099937,5.161389708518982e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.5687857000000001,0.61781895,10.2577559,0.08726646259971647,0.08726646259971647,-0.05235987755982989,-720.0,320.0,-400.0,1600,1600,1599,1599,0,0,0,0
1763969188.8469572,0.0,0.0,32.06,154.9,-0.06373365968465805,0.21541811525821686,0.9743645787239075,-0.01210789754986763,-3.090153694152832,-0.11931087076663971,2.703634023666382,-0.00012643029913306236,-0.00015691109001636505,-0.0008067721500992775,0.0,0.0,0.0,0.0,0.0,0.0,-0.5687857000000001,0.61781895,10.2577559,0.08726646259971647,0.08726646259971647,-0.05235987755982989,-720.0,320.0,-400.0,1600,1600,1599,1599,0,0,0,0
